ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL;DATA
2025;1;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito;S;1;2025-01-01
2025;1;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;BA;IBICARAÍ                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;BA;JEQUIÉ                             ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;BA;JEQUIÉ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;BA;JEQUIÉ                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;BA;JEREMOABO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;BA;SALVADOR                           ;Espingarda                                        ;PARDUS                                                                ;12                                                ;Apostilada no Exercito;S;1;2025-01-01
2025;1;BA;SALVADOR                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Extravio/Perda de Arma de Fogo;S;1;2025-01-01
2025;1;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito;S;1;2025-01-01
2025;1;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;BA;SALVADOR                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo;S;2;2025-01-01
